doc_id,img_id,lrx,lry,width,height,type,position,doc_title,repository,collection,idno
0001,00005,2100,1900,150,170,envelope,r,Typed Letter Signed Erich Mikesch to W. H. Auden 1970-05-06,Vienna State Archives,Finance Ministry Section,BMF700-32
0001,00006,2100,1900,150,170,envelope,v,Typed Letter Signed Erich Mikesch to W. H. Auden 1970-05-06,Vienna State Archives,Finance Ministry Section,BMF700-32
0001,00007,2600,1600,150,170,sheet,r,Typed Letter Signed Erich Mikesch to W. H. Auden 1970-05-06,Vienna State Archives,Finance Ministry Section,BMF700-32
0001,00008,2600,1600,150,170,sheet,v,Typed Letter Signed Erich Mikesch to W. H. Auden 1970-05-06,Vienna State Archives,Finance Ministry Section,BMF700-32
0002,00002,2500,1500,150,170,envelope,r,Typed Letter Signed W. H. Auden to Stella Musulin 1971-11-05,Vienna City Library,Manuscript Section,BAF3072/82
0002,00004,2400,1400,210,290,sheet,r,Typed Letter Signed W. H. Auden to Stella Musulin 1971-11-05,Vienna City Library,Manuscript Section,BAF3072/82
0002,00010,2501,1501,150,170,envelope,v,Typed Letter Signed W. H. Auden to Stella Musulin 1971-11-05,Vienna City Library,Manuscript Section,BAF3072/82
0002,00012,2402,1401,210,290,sheet,v,Typed Letter Signed W. H. Auden to Stella Musulin 1971-11-05,Vienna City Library,Manuscript Section,BAF3072/82
0003,00001,2000,1000,150,170,envelope,r,Autograph Letter Signed W. H. Auden to Chester Kallman 1965-10-01,State Collections of Lower Austria,W. H. Auden Collection,1.7
0003,00003,1900,0900,210,290,sheet,r,Autograph Letter Signed W. H. Auden to Chester Kallman 1965-10-01,State Collections of Lower Austria,W. H. Auden Collection,1.7
0003,00009,2001,1001,150,170,envelope,v,Autograph Letter Signed W. H. Auden to Chester Kallman 1965-10-01,State Collections of Lower Austria,W. H. Auden Collection,1.7
0003,00011,1901,0901,210,290,sheet,v,Autograph Letter Signed W. H. Auden to Chester Kallman 1965-10-01,State Collections of Lower Austria,W. H. Auden Collection,1.7
0004,00013,1200,1100,740,630,sheet,r,Photograph W. H. Auden of Chester Kallman and Thekla Clark,State Collections of Lower Austria,W. H. Auden Collection,1.8
