img,lrx,lry,width,height,type,ed,doc,title,author,author-uri,notBefore-iso,notAfter-iso,place,place-uri,repository,repository-uri,collection,idno
00001,2786,2372,162,114,envelope,1r,0001,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1960-07-25--1969-07-25","Auden, W. H.","https://d-nb.info/gnd/118650963",1960-07-25T00:00:00+01:00,1969-07-25T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 001"
00002,2788,2046,162,114,envelope,1v,0001,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1960-07-25--1969-07-25","Auden, W. H.","https://d-nb.info/gnd/118650963",1960-07-25T00:00:00+01:00,1969-07-25T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 001"
00003,3550,4852,210,293,sheet,2r,0001,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1960-07-25--1969-07-25","Auden, W. H.","https://d-nb.info/gnd/118650963",1960-07-25T00:00:00+01:00,1969-07-25T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 001"
00004,3550,4852,210,293,sheet,2v,0001,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1960-07-25--1969-07-25","Auden, W. H.","https://d-nb.info/gnd/118650963",1960-07-25T00:00:00+01:00,1969-07-25T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 001"
00005,2796,2048,162,114,envelope,1r,0002,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1964-09-08","Auden, W. H.","https://d-nb.info/gnd/118650963",1964-09-08T00:00:00+01:00,1964-09-08T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 002"
00006,2808,2050,162,114,envelope,1v,0002,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1964-09-08","Auden, W. H.","https://d-nb.info/gnd/118650963",1964-09-08T00:00:00+01:00,1964-09-08T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 002"
00007,3550,4850,210,293,sheet,2r,0002,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1964-09-08","Auden, W. H.","https://d-nb.info/gnd/118650963",1964-09-08T00:00:00+01:00,1964-09-08T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 002"
00008,3530,4852,210,293,sheet,2v,0002,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1964-09-08","Auden, W. H.","https://d-nb.info/gnd/118650963",1964-09-08T00:00:00+01:00,1964-09-08T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 002"
00009,2764,2048,161,114,envelope,1r,0003,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1965-05-24","Auden, W. H.","https://d-nb.info/gnd/118650963",1965-05-24T00:00:00+01:00,1965-05-24T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 003"
00010,2764,2050,161,114,envelope,1v,0003,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1965-05-24","Auden, W. H.","https://d-nb.info/gnd/118650963",1965-05-24T00:00:00+01:00,1965-05-24T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 003"
00011,3524,4920,210,297,sheet,2r,0003,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1965-05-24","Auden, W. H.","https://d-nb.info/gnd/118650963",1965-05-24T00:00:00+01:00,1965-05-24T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 003"
00012,3524,4924,210,297,sheet,2v,0003,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1965-05-24","Auden, W. H.","https://d-nb.info/gnd/118650963",1965-05-24T00:00:00+01:00,1965-05-24T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 003"
00013,2772,2046,162,114,envelope,1r,0004,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1964-10-07","Auden, W. H.","https://d-nb.info/gnd/118650963",1964-10-07T00:00:00+01:00,1964-10-07T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 004"
00014,2772,2048,162,114,envelope,1v,0004,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1964-10-07","Auden, W. H.","https://d-nb.info/gnd/118650963",1964-10-07T00:00:00+01:00,1964-10-07T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 004"
00015,3524,4852,210,292,sheet,2r,0004,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1964-10-07","Auden, W. H.","https://d-nb.info/gnd/118650963",1964-10-07T00:00:00+01:00,1964-10-07T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 004"
00016,3524,4854,210,292,sheet,2v,0004,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1964-10-07","Auden, W. H.","https://d-nb.info/gnd/118650963",1964-10-07T00:00:00+01:00,1964-10-07T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 004"
00017,2776,2050,162,114,envelope,1r,0005,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1967-05-09","Auden, W. H.","https://d-nb.info/gnd/118650963",1967-05-09T00:00:00+01:00,1967-05-09T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 005"
00018,2772,2048,162,114,envelope,1v,0005,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1967-05-09","Auden, W. H.","https://d-nb.info/gnd/118650963",1967-05-09T00:00:00+01:00,1967-05-09T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 005"
00019,3528,4872,210,294,sheet,2r,0005,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1967-05-09","Auden, W. H.","https://d-nb.info/gnd/118650963",1967-05-09T00:00:00+01:00,1967-05-09T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 005"
00020,3528,4874,210,294,sheet,2v,0005,"Autograph Letter Signed W. H. Auden to Hugo Kurka 1967-05-09","Auden, W. H.","https://d-nb.info/gnd/118650963",1967-05-09T00:00:00+01:00,1967-05-09T23:59:59+01:00,Kirchstetten,"https://d-nb.info/gnd/4801892-2","State Collections of Lower Austria","https://d-nb.info/gnd/1108283586","W. H. Auden Collection","Correspondence Hugo Kurka 005"
